"genre"
"mellow gold"
"soft rock"
"adult standards"
"rock"
"dance pop"
"pop"
"brill building pop"
"soul"
"motown"
"folk rock"
"pop rap"
"album rock"
"rap"
"classic rock"
"quiet storm"
"hip hop"
"bubblegum pop"
"country"
"funk"
"rock-and-roll"
"classic soul"
"urban contemporary"
"post-teen pop"
"contemporary country"
"disco"
"r&b"
"new wave pop"
"country road"
"country rock"
